x_per,y_per,lat,lon,parking
-0.382683432,0.923879533,0.307188172,0.626234093,0
-0.5,0.866025404,0.59067707,0.99962954,13.5
-0.608761429,0.79335334,0.59067707,0.99962954,13
-0.707106781,0.707106781,0.59067707,0.99962954,12.5
-0.79335334,0.608761429,0.59067707,0.99962954,12
-0.866025404,0.5,0.59067707,0.99962954,11.5
-0.923879533,0.382683432,0.59067707,0.99962954,11
-0.965925826,0.258819045,0.59067707,0.99962954,10.5
-0.991444861,0.130526192,0.59067707,0.99962954,10
-1,-2.99E-15,0.59067707,0.99962954,9.5
-0.991444861,-0.130526192,0.59067707,0.99962954,9
-0.965925826,-0.258819045,0.59067707,0.99962954,8.5
-0.923879533,-0.382683432,0.59067707,0.99962954,8
-0.866025404,-0.5,0.59067707,0.99962954,7.5
-0.79335334,-0.608761429,0.59067707,0.99962954,7
-0.707106781,-0.707106781,0.59067707,0.99962954,6.5
-0.608761429,-0.79335334,0.59067707,0.99962954,6
-0.5,-0.866025404,0.59067707,0.99962954,5.5
-0.382683432,-0.923879533,0.59067707,0.99962954,5
-0.258819045,-0.965925826,0.59067707,0.99962954,4.5
-0.130526192,-0.991444861,0.59067707,0.99962954,4
7.04E-16,-1,0.59067707,0.99962954,3.5
0.130526192,-0.991444861,0.59067707,0.99962954,3
0.258819045,-0.965925826,0.59067707,0.99962954,2.5
0.382683432,-0.923879533,0.59067707,0.99962954,2
0.5,-0.866025404,0.59067707,0.99962954,1.5
0.608761429,-0.79335334,0.59067707,0.99962954,1
0.707106781,-0.707106781,0.59067707,0.624937485,0.5
0.79335334,-0.608761429,0.59067707,0.252097727,0
0.866025404,-0.5,0.314480257,0.252097727,0
0.923879533,-0.382683432,0.003646042,0.252097727,8.5
0.965925826,-0.258819045,0.003646042,0.252097727,8
0.991444861,-0.130526192,0.003646042,0.252097727,7.5
1,-2.45E-16,0.003646042,0.252097727,7
0.991444861,0.130526192,0.003646042,0.252097727,6.5
0.965925826,0.258819045,0.003646042,0.252097727,6
0.923879533,0.382683432,0.003646042,0.252097727,5.5
0.866025404,0.5,0.003646042,0.252097727,5
0.79335334,0.608761429,0.003646042,0.252097727,4.5
0.707106781,0.707106781,0.003646042,0.252097727,4
0.608761429,0.79335334,0.003646042,0.252097727,3.5
0.5,0.866025404,0.003646042,0.252097727,3
0.382683432,0.923879533,0.003646042,0.252097727,2.5
0.258819045,0.965925826,0.003646042,0.252097727,2
0.130526192,0.991444861,0.003646042,0.252097727,1.5
2.06E-15,1,0.003646042,0.252097727,1
-0.130526192,0.991444861,0.003646042,0.252097727,0.5
-0.258819045,0.965925826,0.003646042,0.252097727,0
-0.382683432,0.923879533,0.294427024,0.626604553,0
-0.5,0.866025404,0.612553323,0.998147702,1
-0.608761429,0.79335334,0.612553323,0.998147702,0.5
-0.707106781,0.707106781,0.612553323,0.998147702,0
-0.79335334,0.608761429,0.554836475,0.577898383,0
-0.866025404,0.5,0.612553323,0.998147702,11
-0.923879533,0.382683432,0.612553323,0.998147702,10.5
-0.965925826,0.258819045,0.612553323,0.998147702,10
-0.991444861,0.130526192,0.612553323,0.998147702,9.5
-1,-2.99E-15,0.612553323,0.998147702,9
-0.991444861,-0.130526192,0.612553323,0.998147702,8.5
-0.965925826,-0.258819045,0.612553323,0.998147702,8
-0.923879533,-0.382683432,0.612553323,0.998147702,7.5
-0.866025404,-0.5,0.612553323,0.998147702,7
-0.79335334,-0.608761429,0.612553323,0.998147702,6.5
-0.707106781,-0.707106781,0.612553323,0.998147702,6
-0.608761429,-0.79335334,0.612553323,0.998147702,5.5
-0.5,-0.866025404,0.612553323,0.998147702,5
