x_per,y_per,lat,lon,parking
-0.382683432,0.923879533,0.486997747,0.388800016,0
-0.5,0.866025404,0.445568907,0.778625485,6.5
-0.608761429,0.79335334,0.445568907,0.778625485,6
-0.707106781,0.707106781,0.445568907,0.778625485,5.5
-0.79335334,0.608761429,0.445568907,0.778625485,5
-0.866025404,0.5,0.445568907,0.778625485,4.5
-0.923879533,0.382683432,0.445568907,0.778625485,4
-0.965925826,0.258819045,0.445568907,0.778625485,3.5
-0.991444861,0.130526192,0.445568907,0.778625485,3
-1,-2.99E-15,0.445568907,0.778625485,2.5
-0.991444861,-0.130526192,0.445568907,0.778625485,2
-0.965925826,-0.258819045,0.445568907,0.778625485,1.5
-0.923879533,-0.382683432,0.445568907,0.778625485,1
-0.866025404,-0.5,0.445568907,0.778625485,0.5
-0.79335334,-0.608761429,0.445568907,0.778625485,0
-0.707106781,-0.707106781,0.326586557,0.436698866,0
-0.608761429,-0.79335334,0.445568907,0.778625485,7
-0.5,-0.866025404,0.445568907,0.778625485,6.5
-0.382683432,-0.923879533,0.445568907,0.778625485,6
-0.258819045,-0.965925826,0.445568907,0.778625485,5.5
-0.130526192,-0.991444861,0.445568907,0.778625485,5
7.04E-16,-1,0.445568907,0.778625485,4.5
0.130526192,-0.991444861,0.445568907,0.778625485,4
0.258819045,-0.965925826,0.445568907,0.778625485,3.5
0.382683432,-0.923879533,0.445568907,0.778625485,3
0.5,-0.866025404,0.445568907,0.778625485,2.5
0.608761429,-0.79335334,0.445568907,0.778625485,2
0.707106781,-0.707106781,0.445568907,0.778625485,1.5
0.79335334,-0.608761429,0.445568907,0.778625485,1
0.866025404,-0.5,0.445568907,0.778625485,0.5
0.923879533,-0.382683432,0.445568907,0.778625485,0
0.965925826,-0.258819045,0.486997747,0.390440739,0
0.991444861,-0.130526192,0.500262861,0.003691626,6.5
1,-2.45E-16,0.500262861,0.003691626,6
0.991444861,0.130526192,0.500262861,0.003691626,5.5
0.965925826,0.258819045,0.500262861,0.003691626,5
0.923879533,0.382683432,0.500262861,0.003691626,4.5
0.866025404,0.5,0.500262861,0.003691626,4
0.79335334,0.608761429,0.500262861,0.003691626,3.5
0.707106781,0.707106781,0.500262861,0.003691626,3
0.608761429,0.79335334,0.500262861,0.003691626,2.5
0.5,0.866025404,0.500262861,0.003691626,2
0.382683432,0.923879533,0.500262861,0.003691626,1.5
0.258819045,0.965925826,0.500262861,0.003691626,1
0.130526192,0.991444861,0.500262861,0.003691626,0.5
2.06E-15,1,0.500262861,0.003691626,0
