x_per,y_per,lat,lon,parking
-0.382683432,0.923879533,0.615414946,0.565163284,0
-0.5,0.866025404,0.586293654,0.13996052,10.5
-0.608761429,0.79335334,0.586293654,0.13996052,10
-0.707106781,0.707106781,0.586293654,0.13996052,9.5
-0.79335334,0.608761429,0.586293654,0.13996052,9
-0.866025404,0.5,0.586293654,0.13996052,8.5
-0.923879533,0.382683432,0.586293654,0.13996052,8
-0.965925826,0.258819045,0.586293654,0.13996052,7.5
-0.991444861,0.130526192,0.586293654,0.13996052,7
-1,-2.99E-15,0.586293654,0.13996052,6.5
-0.991444861,-0.130526192,0.586293654,0.13996052,6
-0.965925826,-0.258819045,0.586293654,0.13996052,5.5
-0.923879533,-0.382683432,0.586293654,0.13996052,5
-0.866025404,-0.5,0.586293654,0.13996052,4.5
-0.79335334,-0.608761429,0.586293654,0.13996052,4
-0.707106781,-0.707106781,0.586293654,0.13996052,3.5
-0.608761429,-0.79335334,0.586293654,0.13996052,3
-0.5,-0.866025404,0.586293654,0.13996052,2.5
-0.382683432,-0.923879533,0.586293654,0.13996052,2
-0.258819045,-0.965925826,0.586293654,0.13996052,1.5
-0.130526192,-0.991444861,0.586293654,0.13996052,1
7.04E-16,-1,0.586293654,0.565806978,0.5
0.130526192,-0.991444861,0.586293654,0.993799082,0
0.258819045,-0.965925826,0.617292527,0.993799082,0
0.382683432,-0.923879533,0.633270747,0.993799082,3.5
0.5,-0.866025404,0.633270747,0.993799082,3
0.608761429,-0.79335334,0.633270747,0.993799082,2.5
0.707106781,-0.707106781,0.633270747,0.993799082,2
0.79335334,-0.608761429,0.633270747,0.993799082,1.5
0.866025404,-0.5,0.633270747,0.993799082,1
0.923879533,-0.382683432,0.633270747,0.993799082,0.5
0.965925826,-0.258819045,0.633270747,0.993799082,0
0.991444861,-0.130526192,0.223920391,0.71546582,0
1,-2.45E-16,0.633270747,0.993799082,7
0.991444861,0.130526192,0.633270747,0.993799082,6.5
0.965925826,0.258819045,0.633270747,0.993799082,6
0.923879533,0.382683432,0.633270747,0.993799082,5.5
0.866025404,0.5,0.633270747,0.993799082,5
0.79335334,0.608761429,0.633270747,0.993799082,4.5
0.707106781,0.707106781,0.633270747,0.993799082,4
0.608761429,0.79335334,0.633270747,0.993799082,3.5
0.5,0.866025404,0.633270747,0.993799082,3
0.382683432,0.923879533,0.633270747,0.993799082,2.5
0.258819045,0.965925826,0.633270747,0.993799082,2
0.130526192,0.991444861,0.633270747,0.993799082,1.5
2.06E-15,1,0.633270747,0.993799082,1
-0.130526192,0.991444861,0.633270747,0.993799082,0.5
-0.258819045,0.965925826,0.633270747,0.993799082,0
-0.382683432,0.923879533,0.591006384,0.566879801,0
-0.5,0.866025404,0.58253849,0.139745955,10.5
-0.608761429,0.79335334,0.58253849,0.139745955,10
-0.707106781,0.707106781,0.58253849,0.139745955,9.5
-0.79335334,0.608761429,0.58253849,0.139745955,9
-0.866025404,0.5,0.58253849,0.139745955,8.5
-0.923879533,0.382683432,0.58253849,0.139745955,8
