period,lat,lon,parking
16,37.514638,126.9057235,0
17,37.524893,126.89635,10
18,37.524893,126.89635,9.5
19,37.524893,126.89635,9
20,37.524893,126.89635,8.5
21,37.524893,126.89635,8
22,37.524893,126.89635,7.5
23,37.524893,126.89635,7
24,37.524893,126.89635,6.5
25,37.524893,126.89635,6
26,37.524893,126.89635,5.5
27,37.524893,126.89635,5
28,37.524893,126.89635,4.5
29,37.524893,126.89635,4
30,37.524893,126.89635,3.5
31,37.524893,126.89635,3
32,37.524893,126.89635,2.5
33,37.524893,126.89635,2
34,37.524893,126.89635,1.5
35,37.524893,126.89635,1
36,37.524893,126.89635,0.5
37,37.524893,126.89635,0
38,37.513838,126.9057035,0
39,37.502083,126.915267,10.5
40,37.502083,126.915267,10
41,37.502083,126.915267,9.5
42,37.502083,126.915267,9
43,37.502083,126.915267,8.5
44,37.502083,126.915267,8
45,37.502083,126.915267,7.5
46,37.502083,126.915267,7
47,37.502083,126.915267,6.5
48,37.502083,126.915267,6
1,37.502083,126.915267,5.5
2,37.502083,126.915267,5
3,37.502083,126.915267,4.5
4,37.502083,126.915267,4
5,37.502083,126.915267,3.5
6,37.502083,126.915267,3
7,37.502083,126.915267,2.5
8,37.502083,126.915267,2
9,37.502083,126.915267,1.5
10,37.502083,126.915267,1
11,37.502083,126.915267,0.5
12,37.502083,126.915267,0
13,37.538322,126.892554,0
14,37.502083,126.915267,0.5
15,37.502083,126.915267,0
16,37.513238,126.9058135,0
17,37.525593,126.89636,4
18,37.525593,126.89636,3.5
19,37.525593,126.89636,3
20,37.525593,126.89636,2.5
21,37.525593,126.89636,2
22,37.525593,126.89636,1.5
23,37.525593,126.89636,1
24,37.525593,126.89636,0.5
25,37.525593,126.89636,0
26,37.533823,126.917638,0
27,37.525593,126.89636,5
28,37.525593,126.89636,4.5
29,37.525593,126.89636,4
30,37.525593,126.89636,3.5
31,37.525593,126.89636,3
32,37.525593,126.89636,2.5
33,37.525593,126.89636,2
34,37.525593,126.89636,1.5
35,37.525593,126.89636,1
36,37.525593,126.89636,0.5
37,37.525593,126.89636,0
38,37.513238,126.9058735,0
39,37.502983,126.915227,12
40,37.502983,126.915227,11.5
41,37.502983,126.915227,11
42,37.502983,126.915227,10.5
43,37.502983,126.915227,10
44,37.502983,126.915227,9.5
45,37.502983,126.915227,9
46,37.502983,126.915227,8.5
47,37.502983,126.915227,8
48,37.502983,126.915227,7.5
1,37.502983,126.915227,7
2,37.502983,126.915227,6.5
3,37.502983,126.915227,6
4,37.502983,126.915227,5.5
5,37.502983,126.915227,5
6,37.502983,126.915227,4.5
7,37.502983,126.915227,4
8,37.502983,126.915227,3.5
9,37.502983,126.915227,3
10,37.502983,126.915227,2.5
11,37.502983,126.915227,2
12,37.502983,126.915227,1.5
13,37.502983,126.915227,1
14,37.502983,126.915227,0.5
15,37.502983,126.915227,0
16,37.514438,126.9058135,0
17,37.524593,126.89639,10
18,37.524593,126.89639,9.5
19,37.524593,126.89639,9
20,37.524593,126.89639,8.5
21,37.524593,126.89639,8
22,37.524593,126.89639,7.5
23,37.524593,126.89639,7
24,37.524593,126.89639,6.5
25,37.524593,126.89639,6
26,37.524593,126.89639,5.5
27,37.524593,126.89639,5
28,37.524593,126.89639,4.5
29,37.524593,126.89639,4
30,37.524593,126.89639,3.5
31,37.524593,126.89639,3
32,37.524593,126.89639,2.5
33,37.524593,126.89639,2
34,37.524593,126.89639,1.5
35,37.524593,126.89639,1
36,37.524593,126.89639,0.5
37,37.524593,126.89639,0
38,37.513138,126.9058435,0
39,37.502283,126.915227,12
40,37.502283,126.915227,11.5
41,37.502283,126.915227,11
42,37.502283,126.915227,10.5
43,37.502283,126.915227,10
44,37.502283,126.915227,9.5
45,37.502283,126.915227,9
46,37.502283,126.915227,8.5
47,37.502283,126.915227,8
48,37.502283,126.915227,7.5
1,37.502283,126.915227,7
2,37.502283,126.915227,6.5
3,37.502283,126.915227,6
4,37.502283,126.915227,5.5
5,37.502283,126.915227,5
6,37.502283,126.915227,4.5
7,37.502283,126.915227,4
8,37.502283,126.915227,3.5
9,37.502283,126.915227,3
10,37.502283,126.915227,2.5
11,37.502283,126.915227,2
12,37.502283,126.915227,1.5
13,37.502283,126.915227,1
14,37.502283,126.915227,0.5
15,37.502283,126.915227,0
16,37.514038,126.9057235,0
17,37.525893,126.89645,4.5
18,37.525893,126.89645,4
19,37.525893,126.89645,3.5
20,37.525893,126.89645,3
21,37.525893,126.89645,2.5
22,37.525893,126.89645,2
23,37.525893,126.89645,1.5
24,37.525893,126.89645,1
25,37.525893,126.89645,0.5
26,37.525893,126.89645,0
27,37.517352,126.927574,0.5
28,37.517352,126.927574,0
29,37.525893,126.89645,4
30,37.525893,126.89645,3.5
31,37.525893,126.89645,3
32,37.525893,126.89645,2.5
33,37.525893,126.89645,2
34,37.525893,126.89645,1.5
35,37.525893,126.89645,1
36,37.525893,126.89645,0.5
37,37.525893,126.89645,0
38,37.514138,126.9057535,0
39,37.502183,126.915287,10
40,37.502183,126.915287,9.5
41,37.502183,126.915287,9
42,37.502183,126.915287,8.5
43,37.502183,126.915287,8
44,37.502183,126.915287,7.5
45,37.502183,126.915287,7
46,37.502183,126.915287,6.5
47,37.502183,126.915287,6
48,37.502183,126.915287,5.5
1,37.502183,126.915287,5
2,37.502183,126.915287,4.5
3,37.502183,126.915287,4
4,37.502183,126.915287,3.5
5,37.502183,126.915287,3
6,37.502183,126.915287,2.5
7,37.502183,126.915287,2
8,37.502183,126.915287,1.5
9,37.502183,126.915287,1
10,37.502183,126.915287,0.5
11,37.502183,126.915287,0
12,37.505225,126.921952,0
13,37.533823,126.917638,0
14,37.526678,126.932895,0
15,37.502183,126.915287,0
16,37.513238,126.9058135,0
17,37.525893,126.89646,10
18,37.525893,126.89646,9.5
19,37.525893,126.89646,9
20,37.525893,126.89646,8.5
21,37.525893,126.89646,8
22,37.525893,126.89646,7.5
23,37.525893,126.89646,7
24,37.525893,126.89646,6.5
25,37.525893,126.89646,6
26,37.525893,126.89646,5.5
27,37.525893,126.89646,5
28,37.525893,126.89646,4.5
29,37.525893,126.89646,4
30,37.525893,126.89646,3.5
31,37.525893,126.89646,3
32,37.525893,126.89646,2.5
33,37.525893,126.89646,2
34,37.525893,126.89646,1.5
35,37.525893,126.89646,1
36,37.525893,126.89646,0.5
37,37.525893,126.89646,0
38,37.514138,126.9057335,0
39,37.502883,126.915247,12
40,37.502883,126.915247,11.5
41,37.502883,126.915247,11
42,37.502883,126.915247,10.5
43,37.502883,126.915247,10
44,37.502883,126.915247,9.5
45,37.502883,126.915247,9
46,37.502883,126.915247,8.5
47,37.502883,126.915247,8
48,37.502883,126.915247,7.5
1,37.502883,126.915247,7
2,37.502883,126.915247,6.5
3,37.502883,126.915247,6
4,37.502883,126.915247,5.5
5,37.502883,126.915247,5
6,37.502883,126.915247,4.5
7,37.502883,126.915247,4
8,37.502883,126.915247,3.5
9,37.502883,126.915247,3
10,37.502883,126.915247,2.5
11,37.502883,126.915247,2
12,37.502883,126.915247,1.5
13,37.502883,126.915247,1
14,37.502883,126.915247,0.5
15,37.502883,126.915247,0
16,37.513638,126.9058135,0
17,37.525193,126.89632,10
18,37.525193,126.89632,9.5
19,37.525193,126.89632,9
20,37.525193,126.89632,8.5
21,37.525193,126.89632,8
22,37.525193,126.89632,7.5
23,37.525193,126.89632,7
24,37.525193,126.89632,6.5
25,37.525193,126.89632,6
26,37.525193,126.89632,5.5
27,37.525193,126.89632,5
28,37.525193,126.89632,4.5
29,37.525193,126.89632,4
30,37.525193,126.89632,3.5
31,37.525193,126.89632,3
32,37.525193,126.89632,2.5
33,37.525193,126.89632,2
34,37.525193,126.89632,1.5
35,37.525193,126.89632,1
36,37.525193,126.89632,0.5
37,37.525193,126.89632,0
38,37.514038,126.9057635,0
39,37.503183,126.915297,3
40,37.503183,126.915297,2.5
41,37.503183,126.915297,2
42,37.503183,126.915297,1.5
43,37.503183,126.915297,1
44,37.503183,126.915297,0.5
45,37.503183,126.915297,0
46,37.533823,126.917638,0
47,37.528993,126.916888,0
48,37.503183,126.915297,7.5
1,37.503183,126.915297,7
2,37.503183,126.915297,6.5
3,37.503183,126.915297,6
